threshold,precision,recall,f1,specificity,fpr,tp,tn,fp,fn,cost,cost_per_1000
0.05,0.6995331382491567,1.0,0.823206235295664,0.0,1.0,31316,0,13451,0,13451.0,300.46686175084324
0.1,0.7005012531328321,0.9996168092987611,0.8237461186253355,0.004981042301687607,0.9950189576983124,31304,67,13384,12,13420.0,299.77438738356375
0.15,0.7052664902878593,0.9959445650785541,0.8257721177140285,0.03100141253438406,0.968998587465616,31189,417,13034,127,13415.0,299.6626979694865
0.2,0.7128981771312833,0.989079065014689,0.8285806002889091,0.07263400490669839,0.9273659950933016,30974,977,12474,342,13500.0,301.5614180088011
0.25,0.7210035774807004,0.9782219951462511,0.8301447076039239,0.11872723217604639,0.8812727678239536,30634,1597,11854,682,13900.0,310.49657113498785
0.3,0.7315687226809131,0.9620002554604675,0.8311079231957625,0.17820236413649543,0.8217976358635046,30126,2397,11054,1190,14624.0,326.66919829338576
0.35,0.7422636283520081,0.9413398901519989,0.8300319578775465,0.23901568656605457,0.7609843134339455,29479,3215,10236,1837,15747.0,351.75464069515493
0.4,0.7544233246575702,0.9163366968961553,0.8275344974262109,0.3055534904468069,0.6944465095531931,28696,4110,9341,2620,17201.0,384.23392230884355
0.45,0.7666519872288892,0.8894494826925533,0.8234981078524125,0.36971228904914133,0.6302877109508587,27854,4973,8478,3462,18864.0,421.38182143096475
0.5,0.7799419448476053,0.8579959126325201,0.8171091445427728,0.4363987807597948,0.5636012192402052,26869,5870,7581,4447,20922.0,467.35318426519535
0.55,0.7962813257881972,0.8177928215608634,0.8068937269605218,0.5128986692439224,0.4871013307560776,25610,6899,6552,5706,23670.0,528.737686242098
0.6,0.8138217140544369,0.7705007025162856,0.7915689329943411,0.5896215894729017,0.41037841052709834,24129,7931,5520,7187,27081.0,604.9322045256552
0.65,0.8318789558443505,0.7092859879933581,0.7657066032369823,0.6662701657869303,0.3337298342130697,22212,8962,4489,9104,31801.0,710.3670114146581
0.7,0.8535810839806034,0.6351705198620513,0.7283546018784672,0.7463385621886849,0.25366143781131517,19891,10039,3412,11425,37687.0,841.8477896664954
0.75,0.8716789433578868,0.5479307702133095,0.6728887668869238,0.8122072708348822,0.18779272916511783,17159,10925,2526,14157,44997.0,1005.1377130475574
0.8,0.8949585114407845,0.4546238344616171,0.6029561240047433,0.8757713181176121,0.12422868188238792,14237,11780,1671,17079,52908.0,1181.8527040007148
0.85,0.9234249329758714,0.3519606590880061,0.5096642929806714,0.932049661735187,0.06795033826481303,11022,12537,914,20294,61796.0,1380.3918064645832
0.9,0.9462241090955873,0.23486396730106016,0.37632070403438306,0.9689242435506654,0.03107575644933462,7355,13033,418,23961,72301.0,1615.0512654410616
0.95,0.9714285714285714,0.09662792182909695,0.1757718335221167,0.9933833915694,0.006616608430599955,3026,13362,89,28290,84959.0,1897.8041861192396
